,open,high,low,close
0,41.4,41.4,41.4,41.4
1,41.35,41.35,41.35,41.35
2,41.75,41.75,41.75,41.75
3,41.45,41.45,41.45,41.45
4,41.35,41.35,41.35,41.35
5,41.35,41.35,41.35,41.35
6,41.35,41.35,41.35,41.35
7,41.45,41.45,41.45,41.45
8,41.4,41.4,41.4,41.4
9,41.45,41.45,41.45,41.45
10,41.6,41.6,41.6,41.6
11,41.5,41.5,41.5,41.5
12,41.55,41.55,41.55,41.55
13,41.45,41.45,41.45,41.45
14,41.5,41.5,41.5,41.5
15,41.35,41.35,41.35,41.35
16,41.3,41.3,41.3,41.3
